NOM_LOC;NOM_MUN;POBFEM;POBMAS;LONGITUD;LATITUD
Total de la Entidad;Total de la entidad Oaxaca;2157305;1974843;*;*
Localidades de una vivienda;Total de la entidad Oaxaca;2310;2776;*;*
Localidades de dos viviendas;Total de la entidad Oaxaca;2330;2410;*;*
Total del Municipio;Abejones;481;360;*;*
Abejones;Abejones;481;360;" 96°36'29.427"" W";"17°26'08.708"" N"
Total del Municipio;Acatlán de Pérez Figueroa;23187;21980;*;*
Acatlán de Pérez Figueroa;Acatlán de Pérez Figueroa;3343;2998;" 96°36'27.396"" W";"18°32'18.828"" N"
Agua Escondida;Acatlán de Pérez Figueroa;3;7;" 96°35'26.486"" W";"18°28'42.040"" N"
Arroyo de Enmedio;Acatlán de Pérez Figueroa;773;744;" 96°32'48.320"" W";"18°29'45.854"" N"
Arroyo de Pita;Acatlán de Pérez Figueroa;377;389;" 96°21'43.421"" W";"18°23'33.314"" N"
Aserradero Segundo;Acatlán de Pérez Figueroa;62;61;" 96°38'38.574"" W";"18°27'01.467"" N"
Barbasco;Acatlán de Pérez Figueroa;436;415;" 96°33'35.308"" W";"18°35'01.209"" N"
Cañada San Antonio;Acatlán de Pérez Figueroa;392;376;" 96°38'20.309"" W";"18°27'34.733"" N"
Cañamazal;Acatlán de Pérez Figueroa;327;336;" 96°29'38.676"" W";"18°33'56.396"" N"
La Carbonera;Acatlán de Pérez Figueroa;444;422;" 96°25'36.233"" W";"18°26'46.963"" N"
El Cedral;Acatlán de Pérez Figueroa;339;289;" 96°28'47.556"" W";"18°22'01.448"" N"
Cerro Mojarra;Acatlán de Pérez Figueroa;1281;1228;" 96°35'51.285"" W";"18°23'30.136"" N"
Cosolapa Sarmiento;Acatlán de Pérez Figueroa;239;243;" 96°34'23.913"" W";"18°22'22.708"" N"
La Defensa;Acatlán de Pérez Figueroa;429;392;" 96°32'29.150"" W";"18°30'06.572"" N"
Esperanza;Acatlán de Pérez Figueroa;143;144;" 96°23'50.444"" W";"18°26'15.473"" N"
La Estrella;Acatlán de Pérez Figueroa;71;81;" 96°38'16.097"" W";"18°33'25.146"" N"
Guadalupe de los Reyes;Acatlán de Pérez Figueroa;277;250;" 96°37'51.934"" W";"18°33'11.945"" N"
La Isleta;Acatlán de Pérez Figueroa;17;18;" 96°26'13.948"" W";"18°28'55.317"" N"
Joliette;Acatlán de Pérez Figueroa;395;398;" 96°22'37.986"" W";"18°24'49.994"" N"
La Junta;Acatlán de Pérez Figueroa;513;517;" 96°39'25.367"" W";"18°29'24.399"" N"
Las Maravillas;Acatlán de Pérez Figueroa;193;182;" 96°38'18.305"" W";"18°30'28.524"" N"
La Michuca;Acatlán de Pérez Figueroa;6;9;" 96°25'25.033"" W";"18°29'47.804"" N"
Ojo de Agua o Palma Cuata;Acatlán de Pérez Figueroa;216;199;" 96°29'03.459"" W";"18°26'27.795"" N"
La Palma;Acatlán de Pérez Figueroa;357;355;" 96°26'00.309"" W";"18°28'07.527"" N"
El Porvenir;Acatlán de Pérez Figueroa;438;431;" 96°28'43.259"" W";"18°30'23.294"" N"
Rancho Grande;Acatlán de Pérez Figueroa;464;471;" 96°20'55.200"" W";"18°21'10.206"" N"
La Raya;Acatlán de Pérez Figueroa;307;315;" 96°21'59.193"" W";"18°24'15.929"" N"
La Reforma;Acatlán de Pérez Figueroa;88;95;" 96°27'53.290"" W";"18°29'00.282"" N"
La Tabaquera;Acatlán de Pérez Figueroa;644;639;" 96°27'04.386"" W";"18°20'09.580"" N"
Tembladera del Castillo;Acatlán de Pérez Figueroa;419;439;" 96°29'56.754"" W";"18°23'35.148"" N"
Tembladera Vista Hermosa;Acatlán de Pérez Figueroa;174;164;" 96°30'29.986"" W";"18°25'44.346"" N"
Tetela;Acatlán de Pérez Figueroa;1601;1499;" 96°27'28.841"" W";"18°30'31.739"" N"
Torreón;Acatlán de Pérez Figueroa;245;232;" 96°23'08.358"" W";"18°24'41.974"" N"
Vicente Camalote;Acatlán de Pérez Figueroa;3703;3321;" 96°31'54.642"" W";"18°30'48.682"" N"
Cobagar;Acatlán de Pérez Figueroa;*;*;" 96°25'58.683"" W";"18°26'55.199"" N"
Santa Elena;Acatlán de Pérez Figueroa;14;12;" 96°30'21.258"" W";"18°30'16.727"" N"
La Merced;Acatlán de Pérez Figueroa;*;*;" 96°24'26.861"" W";"18°26'29.712"" N"
El Conejo;Acatlán de Pérez Figueroa;193;226;" 96°27'10.477"" W";"18°32'09.973"" N"
Buenos Aires;Acatlán de Pérez Figueroa;*;*;" 96°36'10.604"" W";"18°33'21.427"" N"
Los Corrales;Acatlán de Pérez Figueroa;310;311;" 96°37'02.205"" W";"18°25'33.230"" N"
Tembladera de la Selva 1;Acatlán de Pérez Figueroa;404;386;" 96°31'04.917"" W";"18°26'56.878"" N"
Tembladera de la Selva 2;Acatlán de Pérez Figueroa;195;180;" 96°31'48.081"" W";"18°26'16.185"" N"
Sierra Mojarra;Acatlán de Pérez Figueroa;17;15;" 96°37'18.384"" W";"18°32'25.403"" N"
Primera Ampliación la Palma (El Viejo);Acatlán de Pérez Figueroa;26;27;" 96°26'54.128"" W";"18°28'06.053"" N"
Colonia Josefa Ortiz de Domínguez;Acatlán de Pérez Figueroa;96;115;" 96°26'30.803"" W";"18°23'37.257"" N"
Cerro las Águilas;Acatlán de Pérez Figueroa;*;*;" 96°32'59.225"" W";"18°26'11.208"" N"
El Zapote;Acatlán de Pérez Figueroa;121;103;" 96°37'47.560"" W";"18°26'59.368"" N"
Campo Chico;Acatlán de Pérez Figueroa;20;10;" 96°39'11.981"" W";"18°28'40.825"" N"
La Coraza;Acatlán de Pérez Figueroa;182;165;" 96°30'47.247"" W";"18°24'27.550"" N"
Miguel Hidalgo;Acatlán de Pérez Figueroa;213;200;" 96°28'17.728"" W";"18°33'17.419"" N"
La Cotorra;Acatlán de Pérez Figueroa;*;*;" 96°36'53.764"" W";"18°31'01.388"" N"
La Cuchilla;Acatlán de Pérez Figueroa;*;*;" 96°38'02.963"" W";"18°31'09.765"" N"
Las Flores;Acatlán de Pérez Figueroa;11;8;" 96°29'58.604"" W";"18°30'09.520"" N"
Los Almendros;Acatlán de Pérez Figueroa;16;12;" 96°28'09.463"" W";"18°34'08.462"" N"
Lindero;Acatlán de Pérez Figueroa;*;*;" 96°36'43.256"" W";"18°25'05.691"" N"
Los Lirios;Acatlán de Pérez Figueroa;71;85;" 96°32'23.240"" W";"18°33'18.268"" N"
Josefa Ortiz de Domínguez (La Josefita);Acatlán de Pérez Figueroa;27;38;" 96°27'56.894"" W";"18°24'39.836"" N"
Palo Solo;Acatlán de Pérez Figueroa;20;20;" 96°25'56.807"" W";"18°29'13.126"" N"
El Peñón;Acatlán de Pérez Figueroa;*;*;" 96°32'12.532"" W";"18°28'00.445"" N"
Los Reyes;Acatlán de Pérez Figueroa;39;42;" 96°38'47.227"" W";"18°33'54.966"" N"
Saltillo;Acatlán de Pérez Figueroa;18;19;" 96°31'57.687"" W";"18°34'04.554"" N"
San Antonio Uno;Acatlán de Pérez Figueroa;23;6;" 96°34'54.015"" W";"18°23'28.416"" N"
El Nanche;Acatlán de Pérez Figueroa;17;14;" 96°37'27.783"" W";"18°32'39.439"" N"
Bonito;Acatlán de Pérez Figueroa;*;*;" 96°37'45.541"" W";"18°31'07.984"" N"
Cerro Castillo;Acatlán de Pérez Figueroa;*;*;" 96°37'40.135"" W";"18°33'53.492"" N"
Aserradero;Acatlán de Pérez Figueroa;249;217;" 96°34'16.944"" W";"18°30'36.498"" N"
La Sabaneta;Acatlán de Pérez Figueroa;7;4;" 96°37'05.164"" W";"18°31'41.341"" N"
Monte Alto;Acatlán de Pérez Figueroa;12;12;" 96°34'40.266"" W";"18°28'20.844"" N"
Laguna Verde;Acatlán de Pérez Figueroa;52;56;" 96°41'08.465"" W";"18°27'38.773"" N"
Buenos Aires;Acatlán de Pérez Figueroa;215;198;" 96°40'09.895"" W";"18°27'39.231"" N"
Estancia de Vacas;Acatlán de Pérez Figueroa;6;5;" 96°30'48.724"" W";"18°24'59.491"" N"
Zona Urbana Ejidal;Acatlán de Pérez Figueroa;893;837;" 96°35'17.794"" W";"18°31'57.806"" N"
Buenavista;Acatlán de Pérez Figueroa;25;25;" 96°34'09.657"" W";"18°31'22.450"" N"
San Evaristo;Acatlán de Pérez Figueroa;9;6;" 96°31'38.512"" W";"18°34'24.469"" N"
El Tigre;Acatlán de Pérez Figueroa;*;*;" 96°34'46.109"" W";"18°31'12.456"" N"
Las Casitas;Acatlán de Pérez Figueroa;9;9;" 96°25'58.908"" W";"18°31'00.658"" N"
El Cedro;Acatlán de Pérez Figueroa;8;5;" 96°27'56.663"" W";"18°34'01.696"" N"
San Francisco (El Trapiche);Acatlán de Pérez Figueroa;*;*;" 96°30'11.021"" W";"18°30'48.751"" N"
El Setenta y Dos;Acatlán de Pérez Figueroa;24;21;" 96°30'40.793"" W";"18°30'41.668"" N"
Rancho López;Acatlán de Pérez Figueroa;*;*;" 96°30'20.179"" W";"18°31'18.018"" N"
Los Manantiales;Acatlán de Pérez Figueroa;*;*;" 96°30'35.714"" W";"18°26'07.885"" N"
Emiliano Zapata (Colonia 21 de Mayo);Acatlán de Pérez Figueroa;89;88;" 96°36'22.942"" W";"18°25'47.151"" N"
Los Vírgenes;Acatlán de Pérez Figueroa;6;7;" 96°33'05.704"" W";"18°30'12.198"" N"
El Esfuerzo;Acatlán de Pérez Figueroa;12;9;" 96°33'13.131"" W";"18°30'58.256"" N"
El Crucero;Acatlán de Pérez Figueroa;*;*;" 96°33'25.976"" W";"18°31'13.487"" N"
El Carmen;Acatlán de Pérez Figueroa;22;19;" 96°25'21.657"" W";"18°29'03.996"" N"
El Zapote;Acatlán de Pérez Figueroa;*;*;" 96°30'46.841"" W";"18°29'32.857"" N"
El Arbolito;Acatlán de Pérez Figueroa;*;*;" 96°25'40.501"" W";"18°26'26.130"" N"
San Antonio Dos;Acatlán de Pérez Figueroa;23;30;" 96°34'49.194"" W";"18°22'58.471"" N"
Peña Blanca;Acatlán de Pérez Figueroa;88;123;" 96°39'34.251"" W";"18°24'23.280"" N"
Plan de Ayala;Acatlán de Pérez Figueroa;62;79;" 96°39'59.004"" W";"18°22'25.233"" N"
El Agostadero;Acatlán de Pérez Figueroa;5;5;" 96°20'37.697"" W";"18°22'22.408"" N"
